loopCnt,thighDeg_RH,incPosDeg_RH,MotorRefCurrent_RH,MotorActCurrent_RH,FvectorRefCurrent_RH,accX_Global_RH,accY_Global_RH,gyroZ_Global_RH,thighDeg_LH,incPosDeg_LH,MotorRefCurrent_LH,MotorActCurrent_LH,FvectorRefCurrent_LH,accX_Global_LH,accY_Global_LH,gyroZ_Global_LH,u_RH,u_LH,EMG_Raw,EMG_Processed,Pvector_ref_RH,Pvector_ref_LH,extension_control_mode
229,-26.928,-15.568,0.000,0.005,0.000,0.000,9.643,0.000,-24.511,-11.459,0.000,-0.005,0.000,0.102,10.107,0.000,0.000,0.000,-0.067,0.000,0.000,0.000,0
230,-26.928,-15.568,0.000,0.000,0.000,0.008,9.667,0.000,-24.511,-11.459,0.000,0.000,0.000,0.123,10.067,0.000,0.000,0.000,-0.067,0.000,0.000,0.000,0
231,-26.928,-15.568,0.000,-0.005,0.000,0.073,9.600,0.015,-24.533,-11.459,0.000,0.000,0.000,0.028,10.110,-0.015,0.000,0.000,-0.066,0.000,0.000,0.000,0
232,-26.928,-15.568,0.000,0.005,0.000,0.016,9.602,-0.046,-24.533,-11.459,0.000,0.000,0.000,-0.111,10.158,-0.015,0.000,0.000,-0.064,0.000,0.000,0.000,0
233,-26.928,-15.568,0.000,0.000,0.000,-0.140,9.676,-0.107,-24.511,-11.459,0.000,0.000,0.000,-0.044,10.174,-0.015,0.000,0.000,-0.065,0.000,0.000,0.000,0
234,-26.906,-15.568,0.000,-0.005,0.000,-0.080,9.669,-0.015,-24.511,-11.459,0.000,0.000,0.000,0.102,10.150,-0.046,0.000,0.000,-0.065,0.000,0.000,0.000,0
235,-26.906,-15.568,0.000,-0.005,0.000,0.042,9.612,0.046,-24.533,-11.459,0.000,0.005,0.000,0.092,10.083,0.000,0.000,0.000,-0.066,0.000,0.000,0.000,0
236,-26.906,-15.568,0.000,0.000,0.000,0.008,9.662,0.015,-24.533,-11.459,0.000,0.000,0.000,0.018,10.110,-0.107,0.000,0.000,-0.066,0.000,0.000,0.000,0
237,-26.928,-15.568,0.000,0.000,0.000,0.008,9.655,0.076,-24.533,-11.459,0.000,0.005,0.000,-0.016,10.150,-0.076,0.000,0.000,-0.066,0.000,0.000,0.000,0
238,-26.928,-15.568,0.000,0.000,0.000,0.023,9.571,0.198,-24.533,-11.459,0.000,-0.005,0.000,-0.030,10.153,0.000,0.000,0.000,-0.067,0.000,0.000,0.000,0
239,-26.928,-15.568,0.000,0.005,0.000,-0.040,9.624,0.000,-24.533,-11.459,0.000,0.000,0.000,0.006,10.143,0.000,0.000,0.000,-0.067,0.000,0.000,0.000,0
240,-26.906,-15.568,0.000,0.005,0.000,-0.035,9.724,-0.229,-24.533,-11.459,0.000,-0.016,0.000,0.071,10.117,0.046,0.000,0.000,-0.067,0.000,0.000,0.000,0
241,-26.906,-15.568,0.000,0.000,0.000,0.032,9.679,-0.198,-24.533,-11.459,0.000,0.016,0.000,0.075,10.141,0.046,0.000,0.000,-0.067,0.000,0.000,0.000,0
242,-26.928,-15.568,0.000,0.005,0.000,0.078,9.561,-0.076,-24.555,-11.459,0.000,-0.005,0.000,-0.008,10.165,-0.046,0.000,0.000,-0.066,0.000,0.000,0.000,0
243,-26.928,-15.568,0.000,-0.016,0.000,0.001,9.600,0.076,-24.533,-11.459,0.000,0.005,0.000,-0.037,10.158,-0.137,0.000,0.000,-0.067,0.000,0.000,0.000,0
244,-26.928,-15.568,0.000,0.005,0.000,-0.016,9.638,0.107,-24.555,-11.459,0.000,0.000,0.000,0.051,10.102,-0.076,0.000,0.000,-0.066,0.000,0.000,0.000,0
245,-26.928,-15.568,0.000,-0.005,0.000,0.044,9.640,0.046,-24.555,-11.459,0.000,-0.005,0.000,0.097,10.081,0.000,0.000,0.000,-0.066,0.000,0.000,0.000,0
246,-26.928,-15.568,0.000,-0.016,0.000,-0.020,9.729,0.000,-24.555,-11.459,0.000,-0.016,0.000,0.011,10.160,0.046,0.000,0.000,-0.067,0.000,0.000,0.000,0
247,-26.928,-15.568,0.000,-0.016,0.000,0.016,9.561,0.000,-24.555,-11.459,0.000,0.005,0.000,-0.013,10.170,0.000,0.000,0.000,-0.069,0.000,0.000,0.000,0
248,-26.928,-15.568,0.000,0.000,0.000,0.006,9.576,0.000,-24.555,-11.459,0.000,-0.005,0.000,0.047,10.114,-0.168,0.000,0.000,-0.068,0.000,0.000,0.000,0
249,-26.928,-15.568,0.000,0.000,0.000,0.000,9.707,0.015,-24.555,-11.459,0.000,0.005,0.000,0.044,10.079,-0.076,0.000,0.000,-0.065,0.000,0.000,0.000,0
250,-26.928,-15.568,0.000,0.000,0.000,-0.028,9.676,-0.076,-24.577,-11.459,0.000,0.000,0.000,-0.001,10.098,0.015,0.000,0.000,-0.064,0.000,0.000,0.000,0
251,-26.928,-15.568,0.000,-0.005,0.000,0.028,9.576,-0.046,-24.555,-11.459,0.000,-0.016,0.000,-0.073,10.174,0.168,0.000,0.000,-0.064,0.000,0.000,0.000,0
252,-26.928,-15.568,0.000,-0.005,0.000,0.037,9.643,0.015,-24.555,-11.459,0.000,0.005,0.000,-0.018,10.177,-0.015,0.000,0.000,-0.065,0.000,0.000,0.000,0
